Date,Temperature,Humidity,Precipitation,WindSpeed,LakeLevel
2025-08-25,-6.7,50,7.7,5.7,345.2
2025-08-26,-7.2,55,0.0,5.6,345.1
2025-08-27,-6.5,53,0.0,6.3,345.0
2025-08-28,-4.9,55,4.6,4.4,345.0
2025-08-29,-4.5,56,0.0,3.4,345.0
2025-08-30,-3.2,56,0.0,3.6,345.0
2025-08-31,-4.8,58,0.0,4.9,345.0
2025-09-01,-4.9,55,7.2,5.0,345.0
2025-09-02,-5.7,60,0.0,5.7,344.9
2025-09-03,-4.6,65,9.6,6.3,344.9
2025-09-04,-6.6,61,4.1,5.9,344.9
2025-09-05,-5.2,65,4.9,4.5,344.9
2025-09-06,-6.8,70,0.0,4.2,344.9
2025-09-07,-5.7,67,0.0,5.6,344.8
2025-09-08,-5.3,64,0.0,5.4,344.7
2025-09-09,-7.0,62,0.0,5.3,344.6
2025-09-10,-8.5,61,0.0,5.7,344.5
2025-09-11,-7.6,64,9.0,4.3,344.5
2025-09-12,-6.2,63,7.4,2.8,344.5
2025-09-13,-5.3,67,0.0,3.2,344.5
2025-09-14,-3.8,71,4.2,5.2,344.5
2025-09-15,-3.3,72,9.6,6.4,344.5
2025-09-16,-4.2,69,0.0,5.8,344.4
2025-09-17,-3.9,66,0.0,7.7,344.3
2025-09-18,-3.7,62,0.0,7.7,344.2
2025-09-19,-3.6,57,0.0,7.3,344.1
2025-09-20,-2.2,60,0.0,7.2,344.0
2025-09-21,-1.8,59,5.1,7.2,344.0
2025-09-22,-3.5,57,2.8,7.8,343.9
2025-09-23,-2.9,61,1.5,7.7,343.8
2025-09-24,-1.9,57,5.3,8.1,343.8
2025-09-25,-1.2,61,9.4,7.6,343.8
2025-09-26,-2.4,63,0.0,6.6,343.7
2025-09-27,-3.4,66,6.4,8.2,343.7
2025-09-28,-2.6,66,0.0,9.2,343.6
2025-09-29,-3.5,61,0.0,7.3,343.5
2025-09-30,-3.2,60,0.0,8.8,343.4
2025-10-01,-3.9,59,0.0,8.6,343.3
2025-10-02,-4.4,59,0.0,7.6,343.2
2025-10-03,-3.7,62,4.0,7.5,343.2
2025-10-04,-3.1,64,0.0,8.7,343.1
2025-10-05,-2.5,60,0.0,7.2,343.0
2025-10-06,-4.4,55,0.0,6.6,342.9
2025-10-07,-5.2,56,4.8,5.7,342.9
2025-10-08,-4.6,52,0.0,7.2,342.8
2025-10-09,-3.3,50,0.0,5.6,342.7
2025-10-10,-1.5,50,0.0,7.5,342.6
2025-10-11,-1.7,51,0.0,7.6,342.5
2025-10-12,-3.1,51,0.0,9.2,342.4
2025-10-13,-5.1,54,6.6,7.9,342.4
2025-10-14,-3.6,50,0.0,8.3,342.3
2025-10-15,-2.6,50,0.0,10.0,342.2
2025-10-16,-3.3,50,0.0,10.8,342.1
2025-10-17,-4.0,51,7.1,9.4,342.1
2025-10-18,-3.4,50,0.0,9.4,342.0
2025-10-19,-5.0,50,0.0,7.5,341.9
2025-10-20,-4.5,54,0.0,6.2,341.8
2025-10-21,-4.5,50,8.4,6.5,341.8
2025-10-22,-4.4,50,6.8,7.4,341.8
2025-10-23,-2.8,52,0.0,7.3,341.7
2025-10-24,-1.2,52,0.0,7.3,341.6
2025-10-25,-1.1,57,0.0,6.1,341.5
2025-10-26,-1.4,59,9.6,4.7,341.5
2025-10-27,-0.2,55,0.0,4.2,341.5
2025-10-28,-0.3,58,7.1,4.9,341.5
2025-10-29,-0.8,63,0.0,4.1,341.5
2025-10-30,-0.8,60,0.0,4.6,341.5
2025-10-31,-2.4,58,6.1,6.6,341.5
2025-11-01,-1.4,59,0.0,6.8,341.4
2025-11-02,-3.3,64,7.9,6.2,341.4
2025-11-03,-2.8,65,0.0,7.3,341.3
2025-11-04,-2.4,70,0.0,8.1,341.2
2025-11-05,-2.1,71,0.0,6.5,341.1
2025-11-06,-3.8,69,0.0,6.3,341.0
2025-11-07,-4.3,72,0.0,7.6,340.9
2025-11-08,-3.7,77,0.0,5.7,340.8
2025-11-09,-3.0,79,9.3,6.6,340.8
2025-11-10,-1.8,76,0.0,7.0,340.7
2025-11-11,-3.8,81,0.0,7.2,340.6
2025-11-12,-4.0,80,0.0,7.3,340.5
2025-11-13,-2.7,84,0.0,5.5,340.4
2025-11-14,-2.8,87,0.0,6.8,340.3
2025-11-15,-3.3,86,5.2,4.8,340.3
2025-11-16,-2.9,82,0.0,4.4,340.3
2025-11-17,-2.9,87,0.0,4.0,340.3
2025-11-18,-3.0,83,0.0,5.2,340.2
2025-11-19,-2.6,87,0.0,6.9,340.1
2025-11-20,-1.7,86,0.0,6.6,340.0
2025-11-21,-3.2,87,0.0,5.3,339.9
2025-11-22,-3.8,91,4.2,3.4,339.9
2025-11-23,-4.7,87,6.5,4.4,339.9
2025-11-24,-6.0,89,8.4,5.3,339.9
2025-11-25,-5.0,85,1.3,6.7,339.8
2025-11-26,-4.9,90,0.0,7.4,339.7
2025-11-27,-2.9,93,0.0,6.5,339.6
2025-11-28,-3.7,91,0.0,6.6,339.5
2025-11-29,-3.2,90,5.7,6.3,339.5
2025-11-30,-3.2,91,0.0,5.9,339.4
2025-12-01,-3.6,92,0.0,5.1,339.3
2025-12-02,-2.7,88,3.2,5.6,339.3
2025-12-03,-1.7,91,0.0,4.0,339.3
2025-12-04,-0.5,96,0.0,3.4,339.3
2025-12-05,-1.6,92,0.0,3.5,339.3
2025-12-06,-2.6,95,0.1,2.8,339.3
2025-12-07,-3.8,94,0.0,4.1,339.3
2025-12-08,-2.2,92,0.0,3.9,339.3
2025-12-09,-3.4,89,4.5,3.8,339.3
2025-12-10,-3.6,92,0.0,2.2,339.3
2025-12-11,-4.4,96,0.0,2.2,339.3
2025-12-12,-6.1,91,2.9,1.6,339.3
2025-12-13,-6.5,87,0.0,1.8,339.3
2025-12-14,-6.9,84,0.0,2.0,339.3
2025-12-15,-7.4,79,0.0,2.2,339.3
2025-12-16,-5.6,76,1.2,0.3,339.3
2025-12-17,-4.8,78,4.5,0.0,339.3
2025-12-18,-4.2,78,4.6,0.7,339.3
2025-12-19,-6.1,74,5.9,2.4,339.3
2025-12-20,-5.4,75,0.0,3.7,339.3
2025-12-21,-4.1,77,0.0,2.5,339.3
2025-12-22,-5.9,77,8.3,2.9,339.4
2025-12-23,-4.4,82,0.0,4.3,339.4
2025-12-24,-5.8,84,1.0,6.1,339.3
2025-12-25,-7.0,81,0.0,7.3,339.2
2025-12-26,-5.1,86,0.0,9.1,339.1
2025-12-27,-6.5,85,0.0,8.2,339.0
2025-12-28,-5.2,84,0.0,8.9,338.9
2025-12-29,-6.1,81,0.0,9.8,338.8
2025-12-30,-4.5,81,0.0,11.1,338.7
2025-12-31,-4.5,77,0.0,12.3,338.6
2026-01-01,-5.0,78,3.2,13.1,338.5
2026-01-02,-6.1,78,3.3,12.4,338.4
2026-01-03,-7.2,74,0.0,11.9,338.3
2026-01-04,-8.8,74,0.8,12.2,338.2
2026-01-05,-10.1,72,8.7,13.6,338.2
2026-01-06,-10.7,72,9.5,13.8,338.2
2026-01-07,-8.8,68,4.6,12.4,338.1
2026-01-08,-8.4,73,0.0,10.6,338.0
2026-01-09,-8.1,78,6.8,11.8,337.9
2026-01-10,-6.9,80,0.0,12.4,337.8
2026-01-11,-8.2,79,0.6,13.5,337.7
2026-01-12,-8.4,80,2.1,13.5,337.6
2026-01-13,-8.4,77,0.0,15.0,337.5
2026-01-14,-9.7,77,5.9,16.1,337.4
2026-01-15,-11.1,80,0.0,16.3,337.2
2026-01-16,-11.1,85,0.0,14.8,337.1
2026-01-17,-10.0,90,0.0,14.0,337.0
2026-01-18,-11.3,87,0.0,13.3,336.9
2026-01-19,-10.6,83,0.0,11.5,336.8
2026-01-20,-11.3,85,0.0,11.4,336.7
2026-01-21,-11.6,85,4.2,11.4,336.6
2026-01-22,-12.1,83,0.0,12.8,336.5
2026-01-23,-13.4,86,0.0,11.6,336.4
2026-01-24,-14.3,86,0.0,9.8,336.3
2026-01-25,-13.7,83,6.7,8.2,336.3
2026-01-26,-12.0,82,6.1,9.7,336.3
2026-01-27,-10.9,80,2.3,10.4,336.2
2026-01-28,-10.1,83,0.0,8.5,336.1
2026-01-29,-9.5,84,7.5,7.6,336.1
2026-01-30,-7.9,79,3.0,5.9,336.1
2026-01-31,-7.2,83,0.0,5.4,336.0
2026-02-01,-7.2,83,0.0,4.4,336.0
2026-02-02,-9.2,78,0.0,5.3,335.9
2026-02-03,-10.3,74,4.6,5.0,335.9
2026-02-04,-9.8,70,0.0,3.2,335.9
2026-02-05,-9.4,74,0.0,4.1,335.9
2026-02-06,-8.3,74,0.0,4.0,335.9
2026-02-07,-7.0,79,8.0,4.3,335.9
2026-02-08,-6.3,79,0.0,4.3,335.9
2026-02-09,-6.2,80,2.4,6.0,335.9
2026-02-10,-7.9,84,0.0,7.7,335.8
2026-02-11,-9.8,82,6.5,7.4,335.8
2026-02-12,-10.4,87,0.0,8.5,335.7
2026-02-13,-10.2,86,7.4,6.9,335.7
2026-02-14,-10.1,83,0.0,7.1,335.6
2026-02-15,-10.6,85,0.0,6.4,335.5
2026-02-16,-9.1,86,0.0,5.3,335.4
2026-02-17,-11.1,91,0.0,4.0,335.4
2026-02-18,-12.3,92,1.2,5.4,335.4
2026-02-19,-10.9,91,0.0,4.7,335.4
2026-02-20,-12.5,90,0.0,5.8,335.3
2026-02-21,-14.0,85,0.0,4.8,335.3
2026-02-22,-13.1,85,3.3,5.5,335.3
2026-02-23,-11.4,87,0.0,5.9,335.2
2026-02-24,-11.6,82,4.7,6.8,335.2
2026-02-25,-10.2,86,0.0,8.2,335.1
2026-02-26,-8.4,81,9.8,9.0,335.1
2026-02-27,-9.5,82,0.5,10.7,335.0
2026-02-28,-8.5,81,0.0,11.6,334.9
2026-03-01,-7.9,80,0.0,10.7,334.8
2026-03-02,-6.3,79,0.0,9.3,334.7
2026-03-03,-7.3,84,0.0,9.8,334.6
2026-03-04,-5.4,79,0.0,11.8,334.5
2026-03-05,-6.2,77,0.0,12.4,334.4
2026-03-06,-5.2,75,0.0,11.0,334.3
2026-03-07,-3.7,75,0.0,12.0,334.2
2026-03-08,-2.5,76,0.0,11.8,334.1
2026-03-09,-0.9,79,0.0,12.6,334.0
2026-03-10,0.6,80,0.0,12.8,333.9
2026-03-11,0.8,79,0.8,11.4,333.8
2026-03-12,1.9,76,0.0,11.7,333.7
2026-03-13,3.4,76,0.0,10.0,333.6
2026-03-14,4.2,77,5.9,8.8,333.6
2026-03-15,4.0,72,0.0,7.7,333.5
2026-03-16,3.2,71,8.4,8.9,333.5
2026-03-17,3.5,69,0.0,10.7,333.4
2026-03-18,4.9,70,0.0,11.5,333.3
2026-03-19,4.8,75,0.0,11.8,333.2
2026-03-20,5.5,70,0.0,13.5,333.1
2026-03-21,4.3,68,0.0,11.6,333.0
2026-03-22,3.0,67,0.0,13.2,332.9
2026-03-23,4.5,68,9.4,12.0,332.9
2026-03-24,6.4,69,0.0,13.4,332.8
2026-03-25,5.2,64,1.6,14.7,332.7
2026-03-26,4.3,60,0.0,13.9,332.6
2026-03-27,3.8,65,4.4,12.5,332.5
2026-03-28,4.9,62,0.0,13.0,332.4
2026-03-29,3.1,66,0.0,12.6,332.3
2026-03-30,3.5,68,0.0,11.5,332.2
2026-03-31,4.5,64,1.4,12.7,332.1
